"1","ActionScript"
"2","Active Oberon"
"3","Alice"
"4","Amiga E"
"5","ASP"
"6","Arduino"
"7","AspectJ"
"8","Assembly language"
"9","Basic"
"10","Bash"
"11","BeanShell"
"12","BitC"
"13","Bourne shell"
"14","C"
"15","C--"
"16","C++/CLI"
"17","C#"
"18","C Shell"
"19","Clarion"
"20","Cobra"
"21","Coffee-Script"
"22","Component Pascal"
"23","Cryptol"
"24","Curl"
"25","CSS"
"26","Data-Flex"
"27","Delphi"
"28","Erlang"
"29","ECMAScript"
"30","Eiffel"
"31","Euphoria"
"32","F#"
"33","Factor"
"34","Falcon"
"35","FLOW-MATIC"
"36","Go"
"37","Golang"
"38","G-code"
"39","Groovy"
"40","Haxe"
"41","HTML"
"42","Java-Script"
"43","Java"
"44","JScript"
"45","JASS"
"46","JADE"
"47","Kotlin"
"48","Laravel"
"49","Liberty BASIC"
"50","MacRuby"
"51","Magik"
"52","MaxScript"
"53","Miranda"
"54","NodeJs"
"55","Object Pascal"
"56","Objective-C"
"57","Objective-J"
"58","Occam"
"59","Octave"
"60","PHP"
"61","Python"
"62","Perl"
"63","Pascal"
"64","PureBasic"
"65","Pharo"
"66","PostScript"
"67","PowerBASIC"
"68","QtScript"
"69","ReactJs"
"70","Ruby"
"71","Rust"
"72","Redcode"
"73","REALBasic"
"74","SQL"
"75","Scala"
"76","Swift"
"77","S-Lang"
"78","Scheme"
"79","Script.NET"
"80","Small Basic"
"81","Telescript"
"82","Turbo Pascal"
"83","Transact-SQL"
"84","Unix shell"
"85","VBScript"
"86","Visual Basic"
"87","Visual DataFlex"
"88","Visual J++"
"89","Windows PowerShell"
"90","CyberSecurity"
